1000/Temperature	ln (G)	ln (G)	ln (G)	ln (G)	Independent Variable	Linear Fit of Vg=60 V	Independent Variable	Linear Fit of Vg=40 V	Independent Variable	Linear Fit of Vg=20 V	Independent Variable	Linear Fit of Vg=0 V				
1/K					1/K											
1000/Temperature	Vg=60 V	Vg=40 V	Vg=20 V	Vg=0 V	Fit Curve of Vg=60 V	Fit Curve of Vg=60 V	Fit Curve of Vg=40 V	Fit Curve of Vg=40 V	Fit Curve of Vg=20 V	Fit Curve of Vg=20 V	Fit Curve of Vg=0 V	Fit Curve of Vg=0 V				
0.00333333333333333	10.9287754861027	11.3499025941795	11.9811023929194	13.2024579766681	0.00217391304347826	10.7733500590238	0.00217391304347826	11.0339455111845	0.00217391304347826	11.3607014472901	0.00217391304347826	11.8376467101428				
0.0032258064516129	10.9521390732602	11.3602262770723	11.9702764435179	13.1452893015082	0.00217519924063194	10.7737753145321	0.00217519924063194	11.0345842000295	0.00217519924063194	11.3617776482718	0.00217519924063194	11.8398118446999				
0.003125	10.9617572435275	11.3602502703486	11.9575703953604	13.1371588783794	0.00217648543778561	10.7742005700404	0.00217648543778561	11.0352228888745	0.00217648543778561	11.3628538492536	0.00217648543778561	11.841976979257				
0.00303030303030303	11.0000218066924	11.3969828209831	12.00541558209	13.2232210380174	0.00217777163493929	10.7746258255487	0.00217777163493929	11.0358615777194	0.00217777163493929	11.3639300502353	0.00217777163493929	11.8441421138141				
0.00294117647058824	11.0173637441106	11.4006443665183	11.9796541505079	13.0807150317233	0.00217905783209296	10.7750510810569	0.00217905783209296	11.0365002665644	0.00217905783209296	11.365006251217	0.00217905783209296	11.8463072483713				
0.00285714285714286	11.0069998265484	11.3831984339074	11.9394072502057	12.9628543267091	0.00218034402924664	10.7754763365652	0.00218034402924664	11.0371389554094	0.00218034402924664	11.3660824521987	0.00218034402924664	11.8484723829284				
0.00277777777777778	10.9890279927696	11.3498133309652	11.8940677611581	12.9237478522256	0.00218163022640031	10.7759015920735	0.00218163022640031	11.0377776442544	0.00218163022640031	11.3671586531804	0.00218163022640031	11.8506375174855				
0.0027027027027027	10.9327145784201	11.2798566591858	11.7856960488232	12.7135735583752	0.00218291642355399	10.7763268475818	0.00218291642355399	11.0384163330993	0.00218291642355399	11.3682348541621	0.00218291642355399	11.8528026520426				
0.00263157894736842	10.9247421307843	11.2674295411594	11.7509829711725	12.6339367485818	0.00218420262070766	10.7767521030901	0.00218420262070766	11.0390550219443	0.00218420262070766	11.3693110551438	0.00218420262070766	11.8549677865997				
0.00256410256410256	10.9073044723846	11.2351267800026	11.7050964022008	12.5581316391694	0.00218548881786134	10.7771773585984	0.00218548881786134	11.0396937107893	0.00218548881786134	11.3703872561255	0.00218548881786134	11.8571329211568				
0.0025	10.8772898452478	11.1849345286516	11.6160651963634	12.3700176703283	0.00218677501501502	10.7776026141067	0.00218677501501502	11.0403323996343	0.00218677501501502	11.3714634571072	0.00218677501501502	11.8592980557139				
0.0024390243902439	10.8703196151236	11.1764494304468	11.5954886390351	12.2755937052645	0.00218806121216869	10.778027869615	0.00218806121216869	11.0409710884792	0.00218806121216869	11.3725396580889	0.00218806121216869	11.8614631902711				
0.00238095238095238	10.837787033863	11.1327663575364	11.5326856121931	12.1780345822609	0.00218934740932237	10.7784531251233	0.00218934740932237	11.0416097773242	0.00218934740932237	11.3736158590707	0.00218934740932237	11.8636283248282				
0.00232558139534884	10.8124026247553	11.1008839799297	11.4710503042486	12.0528677228948	0.00219063360647604	10.7788783806316	0.00219063360647604	11.0422484661692	0.00219063360647604	11.3746920600524	0.00219063360647604	11.8657934593853				
0.00227272727272727	10.8070761287167	11.0875180932132	11.4442919556071	11.9840923852108	0.00219191980362972	10.7793036361399	0.00219191980362972	11.0428871550141	0.00219191980362972	11.3757682610341	0.00219191980362972	11.8679585939424				
0.00222222222222222	10.7865107629576	11.0558643765812	11.3958147853758	11.9273463861893	0.00219320600078339	10.7797288916482	0.00219320600078339	11.0435258438591	0.00219320600078339	11.3768444620158	0.00219320600078339	11.8701237284995				
0.00217391304347826	10.7811158884379	11.0352976204008	11.3675626936131	11.8508103867663	0.00219449219793707	10.7801541471565	0.00219449219793707	11.0441645327041	0.00219449219793707	11.3779206629975	0.00219449219793707	11.8722888630566				
0.00212765957446809	10.8265354529832	11.0808307754825	11.4062985417889	11.8794182725781	0.00219577839509074	10.7805794026648	0.00219577839509074	11.0448032215491	0.00219577839509074	11.3789968639792	0.00219577839509074	11.8744539976138				
0.00208333333333333	10.8474034427127	11.10024837704	11.4300382513952	11.902926828636	0.00219706459224442	10.7810046581731	0.00219706459224442	11.045441910394	0.00219706459224442	11.3800730649609	0.00219706459224442	11.8766191321709				
0.00204081632653061	10.8732732304369	11.1265357754679	11.4550748679801	11.9279795962842	0.00219835078939809	10.7814299136814	0.00219835078939809	11.046080599239	0.00219835078939809	11.3811492659426	0.00219835078939809	11.878784266728				
0.002	10.8991802827477	11.1457556680879	11.4709798560874	11.9667595722917	0.00219963698655177	10.7818551691897	0.00219963698655177	11.046719288084	0.00219963698655177	11.3822254669243	0.00219963698655177	11.8809494012851				
0.00196078431372549	10.9090558192147	11.1532663974726	11.4713648554883	11.9588651432014	0.00220092318370544	10.7822804246979	0.00220092318370544	11.047357976929	0.00220092318370544	11.3833016679061	0.00220092318370544	11.8831145358422				
0.00185185185185185	11.0101406675416	11.2750128805812	11.6089999611802	12.1865750862833	0.00220220938085912	10.7827056802062	0.00220220938085912	11.0479966657739	0.00220220938085912	11.3843778688878	0.00220220938085912	11.8852796703993				
