Vbg	-Seebeck	-Seebeck	-Seebeck	-Seebeck	-Seebeck	-Seebeck	-Seebeck	-Seebeck	-Seebeck	-Seebeck	-Seebeck	-Seebeck	-Seebeck	-Seebeck	-Seebeck	-Seebeck	-Seebeck
V	\g(m)V/K	\g(m)V/K	\g(m)V/K	\g(m)V/K	\g(m)V/K	\g(m)V/K	\g(m)V/K	\g(m)V/K	\g(m)V/K	\g(m)V/K	\g(m)V/K	\g(m)V/K	\g(m)V/K	\g(m)V/K	\g(m)V/K	\g(m)V/K	\g(m)V/K
Vbg	T=600 K	T=570 K	T=540 K	T=510 K	T=480 K	T=450 K	T=420 K	T=390 K	T=360 K	T=330 K	T=300 K	T=270 K	T=240 K	T=210 K	T=180 K	T=150 K	T=120 K
60	5.93771287683286E-4	5.41456869552313E-4	5.00347180130482E-4	4.57672887139319E-4	4.58488913975671E-4	4.05853499311314E-4	3.69830563860572E-4	3.34830806339025E-4	3.11293081887737E-4	2.69410637736526E-4	2.41142421134628E-4	2.10950974398374E-4	1.88283468431595E-4	1.55333696934759E-4	1.33535379966528E-4	1.02760415517538E-4	7.44984954341589E-5
59	5.94765515931159E-4	5.42487040712143E-4	5.01145199096662E-4	4.58350316811859E-4	4.59410218675977E-4	4.06905703994381E-4	3.70859329543531E-4	3.35742752350044E-4	3.12139608137028E-4	2.70283175364608E-4	2.41861151787039E-4	2.11586861030711E-4	1.88733295360572E-4	1.55783846045658E-4	1.33973396821012E-4	1.03187415019938E-4	7.49191430420685E-5
58	5.95759744179031E-4	5.43952213474798E-4	5.02368114067205E-4	4.59551135301167E-4	4.6053397021918E-4	4.07907483532893E-4	3.71743245018329E-4	3.36703034722071E-4	3.13031849956579E-4	2.7078881554484E-4	2.4257988243945E-4	2.12222747663048E-4	1.89397257153502E-4	1.56316732843607E-4	1.34523687118372E-4	1.03475413123773E-4	7.51560087885774E-5
57	5.97197294350862E-4	5.44494600410539E-4	5.03592814315078E-4	4.60594412006164E-4	4.61710906949924E-4	4.08909263071405E-4	3.72625514468034E-4	3.37471582862099E-4	3.13924091776129E-4	2.71568858018001E-4	2.43298613091861E-4	2.12814475501473E-4	1.89986487316059E-4	1.56796330961761E-4	1.34819071572223E-4	1.03852702634164E-4	7.53301862306677E-5
56	5.98966872239799E-4	5.45579374282021E-4	5.04656839603317E-4	4.61585174783057E-4	4.62834658493127E-4	4.10011892899029E-4	3.7346004919005E-4	3.38383528873118E-4	3.14676034086952E-4	2.72396689654539E-4	2.439269373729E-4	2.1344005841523E-4	1.90595837532948E-4	1.57402139111008E-4	1.35175720949836E-4	1.0423998745126E-4	7.5692817954364E-5
55	5.99575280570587E-4	5.46935341621372E-4	5.05774423211434E-4	4.6257593755995E-4	4.63704493657102E-4	4.11015353275693E-4	3.74686337884137E-4	3.39392147606153E-4	3.15710151814205E-4	2.73085778558695E-4	2.44600464839625E-4	2.1423050082626E-4	1.91163510494436E-4	1.57737296860244E-4	1.35634250613616E-4	1.04478275563086E-4	7.59392881201833E-5
54	6.00792097232162E-4	5.48074718204506E-4	5.06784890179795E-4	4.63671728193051E-4	4.64727021778857E-4	4.11867538218689E-4	3.75422111100589E-4	3.40255757256164E-4	3.16602393633755E-4	2.73821115040312E-4	2.45364398677722E-4	2.14711831679904E-4	1.91709626254855E-4	1.58197262306895E-4	1.36082523872747E-4	1.04756278360217E-4	7.60941269342025E-5
53	6.02394733810823E-4	5.49266877408903E-4	5.07902473787912E-4	4.64715004898047E-4	4.6605665146738E-4	4.12968487208161E-4	3.76256645822605E-4	3.41120978118209E-4	3.17400051514837E-4	2.74739900245854E-4	2.46126825742963E-4	2.15369797709197E-4	1.9236352802062E-4	1.58657227753546E-4	1.36479925364827E-4	1.05123705834661E-4	7.63068518429849E-5
52	6.0316822854844E-4	5.50515459415339E-4	5.08859382436395E-4	4.65966586851189E-4	4.67283342083243E-4	4.14020691891229E-4	3.7743355376391E-4	3.41887915046203E-4	3.18339585303622E-4	2.75428989150011E-4	2.46711453611172E-4	2.16116081326315E-4	1.9292976383537E-4	1.59115790866518E-4	1.37009155844643E-4	1.05530714723653E-4	7.66645515675758E-5
51	6.04273751003164E-4	5.51707618619736E-4	5.09976966044512E-4	4.66957349628082E-4	4.68305870204997E-4	4.15072896574296E-4	3.7841458471918E-4	3.42801472269256E-4	3.19138819583679E-4	2.76209031623173E-4	2.47564287047785E-4	2.16729888561695E-4	1.93508933970762E-4	1.59669712669649E-4	1.37528813680122E-4	1.05917999540748E-4	7.68531356386319E-5
50	6.05600006968143E-4	5.52901597914521E-4	5.11201666292385E-4	4.67844835013037E-4	4.69431337399411E-4	4.16224270708324E-4	3.79444996427231E-4	3.43856816151266E-4	3.20031061403229E-4	2.7699061568225E-4	2.48328220885883E-4	2.17311312681541E-4	1.94129781361554E-4	1.60129678116299E-4	1.37855651108226E-4	1.06364856385801E-4	7.72255015710888E-5
49	6.06816823629718E-4	5.54095577209306E-4	5.12424581262928E-4	4.68993139574242E-4	4.70658028015274E-4	4.17226050246836E-4	3.80426027382501E-4	3.4472203701331E-4	3.20970595192014E-4	2.77863153310332E-4	2.48956545166921E-4	2.17958974992254E-4	1.94697454323042E-4	1.60787372611663E-4	1.3835479613441E-4	1.06801717924149E-4	7.75590604579533E-5
