Vbg	-Seebeck	-Seebeck	-Seebeck	-Seebeck	-Seebeck	-Seebeck
V	\g(m)V/K	\g(m)V/K	\g(m)V/K	\g(m)V/K	\g(m)V/K	\g(m)V/K
Vbg	T=300 K	T=360 K	T=420 K 	T=480 K	T=540 K	T=600 K
39	1.38027082696923E-4	1.8033786602662E-4	2.38792188522802E-4	3.01574313768274E-4	3.7903469343225E-4	4.53880776783766E-4
38	1.38455182195069E-4	1.79863512982762E-4	2.39098450796422E-4	3.0211465852062E-4	3.79186209906175E-4	4.54370521492472E-4
37	1.39021008073314E-4	1.80710312022693E-4	2.39335108007855E-4	3.0270376609208E-4	3.81101811040803E-4	4.55487431813223E-4
36	1.40432703469343E-4	1.82202522365263E-4	2.4034754527602E-4	3.04667457996945E-4	3.81479249399956E-4	4.57339690159284E-4
35	1.40410896792494E-4	1.82202522365263E-4	2.40913244599607E-4	3.0483878682086E-4	3.82814488326424E-4	4.5671252454724E-4
34	1.39833593715907E-4	1.82710844425049E-4	2.40819594152302E-4	3.05133999563605E-4	3.82915950250927E-4	4.57611608116954E-4
33	1.40710451669212E-4	1.83648631900502E-4	2.42139559240672E-4	3.06753715906611E-4	3.84276892864936E-4	4.60279620336025E-4
32	1.41436958324242E-4	1.83908252236526E-4	2.43153262055422E-4	3.07048928649356E-4	3.8523334060659E-4	4.60389264673795E-4
31	1.41982125245472E-4	1.83942221252455E-4	2.43883482435086E-4	3.06533624263583E-4	3.8636836133537E-4	4.61696225180013E-4
30	1.42271350643683E-4	1.84958865372027E-4	2.43765786602662E-4	3.08619882173249E-4	3.86266899410866E-4	4.6368444250491E-4
29	1.43510888064587E-4	1.85321605934977E-4	2.45888108226053E-4	3.09798097316169E-4	3.88559938904648E-4	4.64418328605717E-4
28	1.4383110189832E-4	1.8525366790312E-4	2.46099454505782E-4	3.09356596116081E-4	3.88459829805804E-4	4.65481147719834E-4
27	1.443980754964E-4	1.86044660702597E-4	2.47278943923194E-4	3.10387204887628E-4	3.90298319877809E-4	4.67495679685795E-4
26	1.45584817804931E-4	1.87433750818241E-4	2.473725943705E-4	3.11761789221034E-4	3.91659262491818E-4	4.68912284529784E-4
25	1.46504141392101E-4	1.87535657866027E-4	2.4767885664412E-4	3.12646109535239E-4	3.92918743181322E-4	4.68966375736417E-4
24	1.45520545494218E-4	1.87569626881955E-4	2.48976041893956E-4	3.13774243945014E-4	3.93271830678595E-4	4.68966375736417E-4
23	1.46856491381191E-4	1.8924138773729E-4	2.48976041893956E-4	3.14020693868645E-4	3.94456905956797E-4	4.71144643246782E-4
22	1.48395583678813E-4	1.90552834387955E-4	2.51192013964652E-4	3.15885542221253E-4	3.9624534147938E-4	4.71852214706524E-4
21	1.47946825223653E-4	1.90563753000218E-4	2.51875409120663E-4	3.15935622954397E-4	3.96925812786384E-4	4.73268819550513E-4
20	1.47305249836352E-4	1.91761160811695E-4	2.52110800785512E-4	3.15910582587825E-4	3.98336809949815E-4	4.75175169103207E-4
19	1.49293100589134E-4	1.93298258782457E-4	2.53925594588697E-4	3.17506576478289E-4	3.98967226707397E-4	4.76400261837225E-4
18	1.48449526511019E-4	1.93219402138337E-4	2.54586209906175E-4	3.18537185249836E-4	4.00050840061095E-4	4.76318394065023E-4
17	1.49624791621209E-4	1.93275208378791E-4	2.54468514073751E-4	3.19470268383155E-4	4.00352520183286E-4	4.76808138773729E-4
16	1.50725454942178E-4	1.95094977089243E-4	2.55293650447305E-4	3.21433960288021E-4	4.02268121317914E-4	4.79449836351735E-4
15	1.50886135718961E-4	1.95716124809077E-4	2.56778136591752E-4	3.20796089897447E-4	4.03451843770456E-4	4.80212960942614E-4
14	1.52137150338206E-4	1.95918725725507E-4	2.57485577132882E-4	3.22464569059568E-4	4.04056556840497E-4	4.8081234998909E-4
13	1.52746589570151E-4	1.97342998036221E-4	2.57886755400393E-4	3.2391295657866E-4	4.05669125027275E-4	4.84161619026838E-4
12	1.529061226271E-4	1.97309029020292E-4	2.59512982762383E-4	3.24723473707179E-4	4.06501112808204E-4	4.84351669212307E-4
11	1.52853327514728E-4	1.97715444032293E-4	2.60715252018329E-4	3.24527104516692E-4	4.07333100589134E-4	4.85032926030984E-4
10	1.54659838533712E-4	1.99173685358935E-4	2.6170490944796E-4	3.26368230416758E-4	4.08869910538948E-4	4.85250752782021E-4
