Thickness	-Seebeck	Independent Variable	Polynomial Fit of -Seebeck	Thickness	Conductivity	Independent Variable	Polynomial Fit of Conductivity	Thickness	Power factor	Independent Variable	Polynomial Fit of Power factor	
Layer	\g(m)V/K	Layer	\g(m)V/K	Layer	S/m	Layer	S/m	Layer	mW/mK^2	Layer	mW/mK^2	
Thickness	-Seebeck	Thickness	Fitted Curves Plot of -Seebeck	Thickness	Conductivity	Thickness	Fitted Curves Plot of Conductivity	Thickness	Power factor	Thickness	Fitted Curves Plot of Conductivity	
1	2.56506382282348E-4	0	1.4391645033461E-4	1	265.853907692308	0	--	1	1.74919972043606E-5	0	8.72166234023575E-6	
2	1.60390892064877E-4	0.045045045045045	1.44653989598193E-4	2	64.6332991452991	0.495495495495495	504.843525728424	2	1.66270701987251E-6	0.045045045045045	8.71941736337087E-6	
3	2.61547771656121E-4	0.0900900900900901	1.45393313248427E-4	3	--	0.540540540540541	462.773231917722	3	1.55731592996269E-6	0.0900900900900901	8.71705227232347E-6	
4	1.26761064804713E-4	0.135135135135135	1.46134410061175E-4	4	68.9794559099437	0.585585585585586	427.175291000974	4	1.47784966798572E-6	0.135135135135135	8.71456716515576E-6	
7	2.27054786563386E-4	0.18018018018018	1.46877268681824E-4	7	75.7392812592812	0.630630630630631	396.66277021519	7	3.9046535220459E-6	0.18018018018018	8.71196214488706E-6	
8	2.8763382852304E-4	0.225225225225225	1.47621877625245E-4	8	76.5610256410257	0.675675675675676	370.218585534178	8	6.33414012502043E-6	0.225225225225225	8.70923731948656E-6	
12	2.68585304215307E-4	0.27027027027027	1.48368225275757E-4	12	35.4425305039788	0.720720720720721	347.079923938291	12	2.55675559195892E-6	0.27027027027027	8.70639280186583E-6	
17	4.43317082151429E-4	0.315315315315315	1.49116299887111E-4	17	15.2111085972851	0.765765765765766	326.663457824274	17	2.98943970999118E-6	0.315315315315315	8.70342870987111E-6	
22	3.25460031981303E-4	0.36036036036036	1.49866089582472E-4	22	16.0809045499955	0.810810810810811	308.515487945148	22	1.70335747103367E-6	0.36036036036036	8.70034516627512E-6	
30	3.41216670303295E-4	0.405405405405405	1.50617582354416E-4	30	9.80548433048433	0.855855855855856	292.277830684877	30	1.14164093181545E-6	0.405405405405405	8.69714229876864E-6	
34	1.17316198753849E-4	0.45045045045045	1.51370766064933E-4	34	7.76564148973199	0.900900900900901	277.663939150633	34	1.08363398358021E-7	0.45045045045045	8.69382023995165E-6	
