Vbg	-Seebeck	-Seebeck	-Seebeck	-Seebeck	-Seebeck	-Seebeck
V	\g(m)V/K	\g(m)V/K	\g(m)V/K	\g(m)V/K	\g(m)V/K	\g(m)V/K
Vbg	T=300K	T=260K	T=220K	T=180K	T=140K	T=100K
34	1.9452538252782E-4	1.52489874263583E-4	1.16958373165776E-4	8.57121461106262E-5	5.75063154593061E-5	3.64466250954615E-5
33	1.95936339120118E-4	1.53533293898647E-4	1.17762237821842E-4	8.63541164357408E-5	5.76381982325988E-5	3.66948547962579E-5
32	1.98022172635283E-4	1.54537344193214E-4	1.18471425649138E-4	8.68860558040585E-5	5.81258577896574E-5	3.69137215661139E-5
31	1.9624317620827E-4	1.55482208365154E-4	1.19284681840498E-4	8.74637798658084E-5	5.86269651429195E-5	3.7300634648429E-5
30	1.96652109357953E-4	1.56643736021711E-4	1.19965441236635E-4	8.80321500654593E-5	5.898722452542E-5	3.76414705160375E-5
29	1.98799145619681E-4	1.57706708215143E-4	1.20806872033875E-4	8.87383666539385E-5	5.93212960942614E-5	3.80622639032839E-5
28	2.00864395251473E-4	1.58513911807222E-4	1.21771408091043E-4	8.92333828823915E-5	5.98792616735763E-5	3.83188507459634E-5
27	2.03175004773074E-4	1.5949814531966E-4	1.22575272747109E-4	8.9875353207506E-5	6.02484862535457E-5	3.88110186422649E-5
26	2.04217921530657E-4	1.60659672976216E-4	1.23492343477253E-4	9.05997852116518E-5	6.06132282347807E-5	3.86427464611063E-5
25	2.05894821896138E-4	1.62097314463779E-4	1.24466271069714E-4	9.12690786602662E-5	6.12988299149029E-5	3.90718969902357E-5
24	2.07878284897993E-4	1.63416319482326E-4	1.25307955692232E-4	9.19752952487454E-5	6.1597512546367E-5	3.92991209019747E-5
23	2.08246324732708E-4	1.64597663921012E-4	1.26054963485981E-4	9.27272965306568E-5	6.22215374754528E-5	3.99091922594371E-5
22	2.0943223086679E-4	1.65857482816932E-4	1.27076102580188E-4	9.33050205924067E-5	6.26610680776784E-5	4.01910763964652E-5
21	2.1413523653993E-4	1.67137118494981E-4	1.28163490072005E-4	9.4084344997818E-5	6.31399983635174E-5	4.04517288757364E-5
20	2.14953377291076E-4	1.68318198709906E-4	1.29165846095625E-4	9.48639155574951E-5	6.35882582369627E-5	4.07968562486363E-5
19	2.16527907143247E-4	1.69755311749945E-4	1.30328873520347E-4	9.5707486226271E-5	6.40629418503164E-5	4.12133581305913E-5
18	2.1634375E-4	1.70936656188632E-4	1.3143529790803E-4	9.65052722016147E-5	6.45067191250273E-5	4.15668426453742E-5
17	2.19226865931159E-4	1.72413138569169E-4	1.32286120240563E-4	9.73030581769583E-5	6.52010500763692E-5	4.20716591888501E-5
16	2.2174221647938E-4	1.73968095406939E-4	1.3346818456115E-4	9.82108751090988E-5	6.57899219943269E-5	4.21976939231944E-5
15	2.2399134880264E-4	1.75208361744491E-4	1.34697460383482E-4	9.90729073478071E-5	6.6396252454724E-5	4.24628637764565E-5
14	2.2360299953633E-4	1.76684844125027E-4	1.35756419444141E-4	1.0002650897338E-4	6.70511837224526E-5	4.28077652806568E-5
13	2.27181301821951E-4	1.78161326505564E-4	1.37042552128791E-4	1.01007679876718E-4	6.75301140082915E-5	4.34304852852935E-5
12	2.2820363469616E-4	1.79854472370718E-4	1.38186542657648E-4	1.01741219588697E-4	6.80970447850753E-5	4.36830064913812E-5
11	2.29716961801767E-4	1.8140969343225E-4	1.39586135241654E-4	1.02484113162775E-4	6.8778163866463E-5	4.38343385200742E-5
10	2.31823104748527E-4	1.82964914493781E-4	1.40796374168121E-4	1.03428607080515E-4	6.9450553676631E-5	4.48988577010146E-5
9	2.34849484507964E-4	1.84677612917303E-4	1.42356638153229E-4	1.0497839433777E-4	7.03029552149247E-5	4.46632766473925E-5
8	2.37078307399629E-4	1.86488602580188E-4	1.43623733942014E-4	1.06133596307004E-4	7.10411684486145E-5	4.53867340920249E-5
7	2.39327714174667E-4	1.88437517046694E-4	1.45278420930613E-4	1.06986520837879E-4	7.24432781475016E-5	4.57695815377482E-5
6	2.41863099702706E-4	1.90425800853698E-4	1.46649585083461E-4	1.08288676903775E-4	7.30982094152302E-5	4.58705448464434E-5
5	2.44296663620991E-4	1.92059760596225E-4	1.48143600670958E-4	1.09196493835915E-4	7.32827037420904E-5	4.55972437199978E-5
4	2.47097992922213E-4	1.94028491844861E-4	1.49609187827297E-4	1.1016855703142E-4	7.33968920466943E-5	4.63880100370936E-5
3	2.49224445300567E-4	1.95878850848244E-4	1.51169197987126E-4	1.11333112862754E-4	7.47197305258564E-5	4.6068405827242E-5
2	2.5286422478453E-4	1.97453888691905E-4	1.52455330671776E-4	1.12525237971853E-4	7.47987658193323E-5	4.43813925103644E-5
1	2.53948034857081E-4	1.99402803158411E-4	1.5412905455624E-4	1.12901115535675E-4	7.58403802094698E-5	4.41625257405084E-5
0	2.56033868372245E-4	2.01233609603426E-4	1.55387266460288E-4	1.13487947305259E-4	7.50757432358717E-5	4.63376413170958E-5
-1	2.58814888241872E-4	2.03477926235544E-4	1.56361194052749E-4	1.14744318677722E-4	7.45614240126555E-5	4.57781645483308E-5
-2	2.60184951519201E-4	2.04639453892101E-4	1.58091520974253E-4	1.15523643083133E-4	7.49351311913594E-5	4.21556823450796E-5
-3	2.66176233839734E-4	2.05978011469016E-4	1.59613964992909E-4	1.16110721006982E-4	7.68862412720925E-5	4.25554699432686E-5
-4	2.66809942995854E-4	2.07631523769911E-4	1.60833595454669E-4	1.16633306513201E-4	7.72861362644556E-5	4.36240547608008E-5
