Temperature	-Seebeck	Independent Variable	Linear Fit of High Temperature	Independent Variable	Linear Fit of Low Temperature
K	\g(m)V/K	K	\g(m)V/K	K	\g(m)V/K
Temperature	-Seebeck	Temperature	Fit Curve of High Temperature	Temperature	Fit Curve of  Low Temperature
530	4.70380352039321E-4	75.2252252252252	-6.00248852858887E-5	75.2252252252252	2.9341278867076E-5
540	4.83622504305873E-4	75.8258258258258	-5.93115636947416E-5	75.8258258258258	2.98106951289817E-5
550	4.99049120152049E-4	76.4264264264264	-5.85982421035944E-5	76.4264264264264	3.02796496343778E-5
560	5.08336519641405E-4	77.027027027027	-5.78849205124472E-5	77.027027027027	3.07481423832643E-5
570	5.26420091139594E-4	77.6276276276276	-5.71715989213E-5	77.6276276276276	3.12161733756412E-5
580	5.41228268923796E-4	78.2282282282282	-5.64582773301529E-5	78.2282282282282	3.16837426115085E-5
590	5.64679731822731E-4	78.8288288288288	-5.57449557390057E-5	78.8288288288288	3.21508500908662E-5
600	5.93894887821251E-4	79.4294294294294	-5.50316341478585E-5	79.4294294294294	3.26174958137143E-5
		80.03003003003	-5.43183125567113E-5	80.03003003003	3.30836797800528E-5
		80.6306306306306	-5.36049909655642E-5	80.6306306306306	3.35494019898816E-5
		81.2312312312312	-5.2891669374417E-5	81.2312312312312	3.40146624432009E-5
		81.8318318318318	-5.21783477832698E-5	81.8318318318318	3.44794611400106E-5
		82.4324324324324	-5.14650261921226E-5	82.4324324324324	3.49437980803107E-5
		83.033033033033	-5.07517046009755E-5	83.033033033033	3.54076732641011E-5
		83.6336336336336	-5.00383830098283E-5	83.6336336336336	3.5871086691382E-5
		84.2342342342342	-4.93250614186811E-5	84.2342342342342	3.63340383621533E-5
		84.8348348348348	-4.86117398275339E-5	84.8348348348348	3.67965282764149E-5
		85.4354354354354	-4.78984182363868E-5	85.4354354354354	3.7258556434167E-5
		86.036036036036	-4.71850966452396E-5	86.036036036036	3.77201228354095E-5
		86.6366366366366	-4.64717750540924E-5	86.6366366366366	3.81812274801423E-5
		87.2372372372372	-4.57584534629452E-5	87.2372372372372	3.86418703683656E-5
		87.8378378378378	-4.50451318717981E-5	87.8378378378378	3.91020515000793E-5
		88.4384384384384	-4.43318102806509E-5	88.4384384384384	3.95617708752833E-5
