Vbg	-Seebeck	d ln(G)/d Vbg	-Seebeck
V	\g(m)V/K	1/V	mV/K
Vbg	M1	M1	M5
13	2.27181301821951E-4	0.0468397895883591	2.02529438504619E-4
12	2.2820363469616E-4	0.048151551724569	2.0366371190632E-4
11	2.29716961801767E-4	0.0528655158827681	2.04230434940723E-4
10	2.31823104748527E-4	0.0536348047283242	2.05241435740781E-4
9	2.34849484507964E-4	0.0522232747652455	2.05882618735908E-4
8	2.37078307399629E-4	0.0567759598256915	2.06573441704851E-4
7	2.39327714174667E-4	0.0570860269711004	2.07534802531093E-4
6	2.41863099702706E-4	0.0588795217807673	2.07288257327806E-4
5	2.44296663620991E-4	0.0647652119753129	2.07559622518001E-4
4	2.47097992922213E-4	0.0696161652232068	2.07091352098334E-4
3	2.49224445300567E-4	0.0694272669360374	2.05957078696633E-4
2	2.5286422478453E-4	0.0721915718473287	2.05019710524402E-4
1	2.53948034857081E-4	0.0754570270302553	2.0366371190632E-4
0	2.56033868372245E-4	0.0775842464309691	2.0139433777002E-4
-1	2.58814888241872E-4	0.0843138732328604	1.97893064950178E-4
-2	2.60184951519201E-4	0.0855305560957535	1.93208706087716E-4
-3	2.66176233839734E-4	0.0881240212263871	1.87562159066114E-4
-4	2.66809942995854E-4	0.0917669771716515	1.80658893374064E-4
-5	2.68752512682741E-4	0.0940127318058578	1.71214888355517E-4
-6	2.71288172662557E-4	0.0977815273977097	1.61451532838752E-4
-7	2.73455792807659E-4	0.102934032855822	1.50158438795549E-4
-8	2.75848737862754E-4	0.111574607701282	1.3580834969816E-4
-9	2.78137665693869E-4	0.11681556282422	1.20200714597425E-4
-10	2.79957280984072E-4	0.120985388430708	1.05579260309841E-4
-11	2.80632432358717E-4	0.125754711062611	8.80240835697142E-5
-12	2.80797103425704E-4	0.135671789557053	6.59810395301476E-5
-13	2.80407381900502E-4	0.138331555878932	4.75624581787766E-5
-14	2.79161370826969E-4	0.145689333806229	3.07467515819332E-5
-15	2.76952034011565E-4	0.156535734899338	1.46213715542949E-5
-16	2.72903595829697E-4	0.159678151635927	5.42444123208961E-6
-17	2.62843016992145E-4	0.174170279248695	3.64917512182704E-6
-18	2.55011535498036E-4	0.185092088733355	4.93131773219871E-8
-19	2.44950956660484E-4	0.198590309927936	-1.92321805222198E-6
-20	2.28387791839407E-4	0.214964860708159	0
-21	2.08573471252455E-4	0.238855456209102	6.90383655174922E-7
-22	1.88247847002509E-4	0.262464906170831	-2.24375163648265E-6
-23	1.59047001145538E-4	0.29173454234973	-1.47939531965961E-6
-24	1.22874256764128E-4	0.334378615189226	9.12291712124518E-7
-25	9.2917570709688E-5	0.382396164894723	-1.15886173539894E-6
-26	6.17335363026402E-5	0.439297270278417	-1.15886173539894E-6
-27	2.77484470461488E-5	0.523947814794847	9.86263546439741E-7
-28	1.14715354298494E-5	0.653818545418649	-3.69848416248454E-7
-29	1.16760294498691E-5	0.827573803484696	-1.62733898829006E-6
-30	1.34959466370281E-6	0.999594571753768	3.45191413921012E-7
-31	-4.53954219397774E-6	1.11929150520466	5.17787948214416E-7
-32	3.3944195941523E-6	1.29071560808153	-2.02183613353698E-6
-33	5.35749082887846E-6	1.27745979968919	-1.06023538075496E-6
-34	-4.2328148865372E-6	0.789190829217719	4.93131773219871E-7
-35	9.40625835288021E-7	0.260383075384472	-1.15886173539894E-6
-36	5.09162939122845E-6	0.0528283831424892	-1.75061986326278E-6
-37	-2.53559411138992E-6	0.0149728351471001	4.19162420903339E-7
-38	-3.41486625163648E-6	0.00408862219451282	-2.95879063931922E-7
-39	4.47817477634737E-6	-7.4179593505234E-4	-2.41634155211288E-6
-40	8.58830971797949E-7	5.94459737025173E-4	-6.6572665284748E-7
-41	-2.0652825660048E-6	0.00327382636626794	6.41070477852935E-7
-42	2.2084201464652E-6	-7.92424661364421E-4	-1.70130254927631E-6
-43	4.19192157156884E-6	6.97767308204256E-4	-1.03557258709724E-6
-44	-3.82385429167576E-6	-9.89472022376129E-5	6.41070477852935E-7
-45	-1.22690099620882E-6	-0.0010959674739001	-4.19162420903339E-7
-46	5.86868471116081E-6	0.00108971372938083	-1.52870436031711E-6
-47	-9.40625835288021E-7	-0.00198531247151597	4.68475598225326E-7
-48	-4.21236822905302E-6	0.00428734739075824	6.90383655174922E-7
-49	3.5375736417194E-6	-0.00246841164263767	-2.16977980216743E-6
-50	3.51712698423522E-6	-0.006266530148622	-1.23282529638519E-6
-51	-3.76248687404539E-6	8.37620258830422E-4	6.90383655174922E-7
-52	-4.70311545385119E-7	-0.00152742637396693	-1.57802167430359E-6
-53	4.41683480389483E-6	1.47990293393185E-4	-1.01091806676849E-6
-54	-2.37200712892756E-6	-0.00122772988429147	5.91757300530948E-7
-55	-3.43531290912066E-6	-0.00241061734638226	-2.7122206160448E-7
-56	2.88322571186995E-6	-1.96101505756848E-4	-1.20817077605644E-6
-57	6.74797331851407E-7	-0.00414888529156165	5.67101125536403E-7
-58	-5.05073607626009E-6	-4.89850358168139E-4	5.91757300530948E-7
-59	3.10816638937377E-6	-4.36884760710563E-4	-1.97252709287948E-6
-60	2.45379924789985E-6	-0.00750536293475728	-2.2190971161539E-7
