Vbg	I	I	I	I	I	I
V	\g(m)A	\g(m)A	\g(m)A	\g(m)A	\g(m)A	\g(m)A
Vbg	T=300 K	T=360 K	T=420 K	T=480 K	T=540 K	T=600 K
-1	1.144012E-6	1.52637E-6	3.360124E-6	4.47255E-6	3.128658E-6	2.546917E-6
-2	1.036964E-6	1.4129E-6	3.190096E-6	4.267667E-6	2.896918E-6	2.362932E-6
-3	9.49894E-7	1.293124E-6	3.012251E-6	4.080573E-6	2.707683E-6	2.207278E-6
-4	8.511399E-7	1.171868E-6	2.865783E-6	3.899741E-6	2.527712E-6	2.065623E-6
-5	7.616158E-7	1.052771E-6	2.705102E-6	3.710068E-6	2.363232E-6	1.925377E-6
-6	6.773989E-7	9.39013E-7	2.555778E-6	3.52349E-6	2.20576E-6	1.795286E-6
-7	6.056459E-7	8.253539E-7	2.404985E-6	3.343642E-6	2.058479E-6	1.668239E-6
-8	5.302095E-7	7.32787E-7	2.223583E-6	3.15998E-6	1.916114E-6	1.543273E-6
-9	4.599155E-7	6.334466E-7	2.060375E-6	2.98893E-6	1.77125E-6	1.419278E-6
-10	3.982713E-7	5.471223E-7	1.92231E-6	2.829039E-6	1.639474E-6	1.297229E-6
-11	3.486124E-7	4.687161E-7	1.769294E-6	2.660571E-6	1.504146E-6	1.176495E-6
-12	2.973563E-7	3.902931E-7	1.64093E-6	2.515584E-6	1.369475E-6	1.057241E-6
-13	2.511181E-7	3.361212E-7	1.504599E-6	2.360262E-6	1.247532E-6	9.424323E-7
-14	2.062618E-7	2.804359E-7	1.364746E-6	2.206084E-6	1.123764E-6	8.319009E-7
-15	1.672704E-7	2.286377E-7	1.237929E-6	2.057027E-6	1.004171E-6	7.227009E-7
-16	1.31791E-7	1.894102E-7	1.128659E-6	1.920686E-6	8.850597E-7	6.204006E-7
-17	1.044151E-7	1.559843E-7	1.016156E-6	1.791873E-6	7.707184E-7	5.222834E-7
-18	7.95453E-8	1.262835E-7	9.080797E-7	1.652269E-6	6.614383E-7	4.365248E-7
-19	5.843744E-8	1.016179E-7	8.210747E-7	1.522286E-6	5.575674E-7	3.542051E-7
-20	4.18235E-8	7.955539E-8	7.266529E-7	1.393063E-6	4.562365E-7	2.850697E-7
-21	2.856734E-8	6.088624E-8	6.362878E-7	1.271329E-6	3.633522E-7	2.263182E-7
-22	1.835391E-8	4.436883E-8	5.596336E-7	1.152289E-6	2.786722E-7	1.759594E-7
-23	1.160031E-8	3.210657E-8	4.848291E-7	1.025974E-6	2.06061E-7	1.364346E-7
-24	6.827614E-9	2.265092E-8	4.174559E-7	9.123212E-7	1.45882E-7	1.092961E-7
-25	3.753539E-9	1.584608E-8	3.585329E-7	8.012382E-7	9.942121E-8	8.399158E-8
-26	1.957768E-9	1.118278E-8	2.965295E-7	6.948973E-7	6.486122E-8	6.661929E-8
-27	9.70406E-10	7.47426E-9	2.456624E-7	5.987632E-7	4.110358E-8	5.312364E-8
-28	4.17093E-10	4.757719E-9	2.006956E-7	4.997473E-7	2.58525E-8	4.311065E-8
-29	1.51575E-10	2.956055E-9	1.595382E-7	4.123081E-7	1.692306E-8	3.534538E-8
-30	4.35414E-11	1.59916E-9	1.181486E-7	3.243023E-7	1.159707E-8	2.963445E-8
-31	7.4283E-12	7.772327E-10	8.806371E-8	2.491884E-7	7.915606E-9	2.504254E-8
-32	1.2385E-12	3.538541E-10	6.181642E-8	1.807982E-7	5.385435E-9	2.137831E-8
-33	2.852E-13	1.448916E-10	4.173865E-8	1.216118E-7	3.98311E-9	1.797734E-8
-34	1.221E-13	5.88077E-11	2.581055E-8	7.70049E-8	2.878344E-9	1.565811E-8
-35	1.009E-13	1.98137E-11	1.462463E-8	4.523168E-8	2.100931E-9	1.416912E-8
-36	7.88E-14	7.4252E-12	8.070367E-9	2.355505E-8	1.532644E-9	1.256391E-8
-37	8.73E-14	3.0938E-12	3.884193E-9	1.135391E-8	1.350313E-9	1.130732E-8
-38	9.49E-14	1.7608E-12	1.735515E-9	4.954881E-9	1.164226E-9	9.885985E-9
-39	9.64E-14	1.2951E-12	6.594373E-10	2.041958E-9	6.57533E-10	8.565442E-9
-40	9.48E-14	1.1318E-12	2.652191E-10	7.782913E-10	6.716707E-10	7.948647E-9
-41	9.15E-14	1.0808E-12	9.49959E-11	3.972789E-10	5.44213E-10	7.262816E-9
-42	9.19E-14	1.0552E-12	3.26648E-11	2.06175E-10	4.998479E-10	6.491066E-9
-43	9.1E-14	1.0496E-12	1.29384E-11	1.183631E-10	4.49638E-10	6.046712E-9
-44	9.63E-14	1.0376E-12	5.8804E-12	7.35882E-11	4.073288E-10	5.648656E-9
-45	9.23E-14	1.0406E-12	3.307E-12	4.57988E-11	3.580298E-10	5.291111E-9
-46	9.61E-14	1.0317E-12	2.1857E-12	3.1611E-11	3.150419E-10	4.88295E-9
-47	8.64E-14	1.0277E-12	1.7167E-12	2.14318E-11	2.765389E-10	4.433105E-9
-48	9.28E-14	1.0287E-12	1.4621E-12	1.56051E-11	2.523612E-10	4.194213E-9
-49	9.13E-14	1.0274E-12	1.3179E-12	1.25669E-11	2.277941E-10	3.919687E-9
-50	8.74E-14	1.0378E-12	1.2334E-12	9.8241E-12	2.117185E-10	3.724027E-9
-51	9.32E-14	1.0278E-12	1.1739E-12	7.9118E-12	1.918029E-10	3.508675E-9
-52	1.063E-13	1.0131E-12	1.1426E-12	6.6693E-12	1.789597E-10	3.222393E-9
-53	9.35E-14	1.02E-12	1.1482E-12	5.6792E-12	1.676687E-10	3.021842E-9
-54	9.98E-14	1.0136E-12	1.1269E-12	4.9881E-12	1.585575E-10	2.950826E-9
-55	1.009E-13	1.0175E-12	1.1204E-12	4.4687E-12	1.472965E-10	2.819107E-9
-56	9.27E-14	1.0129E-12	1.1287E-12	4.035E-12	1.438131E-10	2.65291E-9
-57	9.8E-14	1.0135E-12	1.1174E-12	3.7864E-12	1.325001E-10	2.567313E-9
-58	9.89E-14	1.0164E-12	1.1067E-12	3.4508E-12	1.22333E-10	2.380796E-9
-59	9.36E-14	1.019E-12	1.1236E-12	3.3153E-12	1.162335E-10	2.274024E-9
-60	1.016E-13	1.0167E-12	1.1312E-12	3.2019E-12	1.05553E-10	2.125027E-9
