ln (n2d)	EA	ln ( |Seebeck| )	Independent Variable	Linear Fit of EA	Independent Variable	Linear Fit of ln ( |Seebeck| )
	meV			meV		
ln (n2d)	EA	ln ( |Seebeck| )	Fit Curve of EA	Fit Curve of EA	Fit Curve of ln ( |Seebeck| )	Fit Curve of ln ( |Seebeck| )
29.5361557723586	25.8	5.54145568356141	28.25	155.759658290867	28.25	5.76626950386502
29.4230409679207	32.6	5.56545100866168	28.2515015015015	155.597976210036	28.2515015015015	5.76601346534922
29.2954797422827	39.58	5.59125560114552	28.253003003003	155.436294129204	28.253003003003	5.76575742683342
29.1492342419626	52.99	5.61640375747815	28.2545045045045	155.274612048373	28.2545045045045	5.76550138831763
28.9778759899659	67.5	5.64577546556701	28.256006006006	155.112929967541	28.256006006006	5.76524534980183
28.7709552741586	98.19	5.6769798041252	28.2575075075075	154.951247886709	28.2575075075075	5.76498931128603
28.5097397748949	137	5.71835905160821	28.259009009009	154.789565805878	28.259009009009	5.76473327277023
--	--	--	28.2605105105105	154.627883725046	28.2605105105105	5.76447723425443
--	--	--	28.262012012012	154.466201644215	28.262012012012	5.76422119573864
--	--	--	28.2635135135135	154.304519563383	28.2635135135135	5.76396515722284
--	--	--	28.265015015015	154.142837482551	28.265015015015	5.76370911870704
--	--	--	28.2665165165165	153.98115540172	28.2665165165165	5.76345308019124
--	--	--	28.268018018018	153.819473320888	28.268018018018	5.76319704167545
--	--	--	28.2695195195195	153.657791240057	28.2695195195195	5.76294100315965
--	--	--	28.271021021021	153.496109159225	28.271021021021	5.76268496464385
--	--	--	28.2725225225225	153.334427078394	28.2725225225225	5.76242892612806
--	--	--	28.274024024024	153.172744997562	28.274024024024	5.76217288761226
--	--	--	28.2755255255255	153.01106291673	28.2755255255255	5.76191684909646
--	--	--	28.277027027027	152.849380835899	28.277027027027	5.76166081058066
--	--	--	28.2785285285285	152.687698755067	28.2785285285285	5.76140477206487
--	--	--	28.28003003003	152.526016674236	28.28003003003	5.76114873354907
--	--	--	28.2815315315315	152.364334593404	28.2815315315315	5.76089269503327
--	--	--	28.283033033033	152.202652512573	28.283033033033	5.76063665651747
--	--	--	28.2845345345345	152.040970431741	28.2845345345345	5.76038061800168
--	--	--	28.286036036036	151.87928835091	28.286036036036	5.76012457948588
--	--	--	28.2875375375375	151.717606270078	28.2875375375375	5.75986854097008
--	--	--	28.289039039039	151.555924189246	28.289039039039	5.75961250245428
--	--	--	28.2905405405405	151.394242108415	28.2905405405405	5.75935646393849
--	--	--	28.292042042042	151.232560027583	28.292042042042	5.75910042542269
--	--	--	28.2935435435435	151.070877946752	28.2935435435435	5.75884438690689
--	--	--	28.295045045045	150.90919586592	28.295045045045	5.75858834839109
--	--	--	28.2965465465465	150.747513785088	28.2965465465465	5.7583323098753
			28.298048048048	150.585831704257	28.298048048048	5.7580762713595
			28.2995495495496	150.424149623425	28.2995495495496	5.7578202328437
			28.3010510510511	150.262467542594	28.3010510510511	5.7575641943279
			28.3025525525526	150.100785461762	28.3025525525526	5.75730815581211
			28.3040540540541	149.939103380931	28.3040540540541	5.75705211729631
			28.3055555555556	149.777421300099	28.3055555555556	5.75679607878051
			28.3070570570571	149.615739219267	28.3070570570571	5.75654004026471
			28.3085585585586	149.454057138436	28.3085585585586	5.75628400174892
			28.3100600600601	149.292375057604	28.3100600600601	5.75602796323312
			28.3115615615616	149.130692976773	28.3115615615616	5.75577192471732
			28.3130630630631	148.969010895941	28.3130630630631	5.75551588620152
			28.3145645645646	148.80732881511	28.3145645645646	5.75525984768573
			28.3160660660661	148.645646734278	28.3160660660661	5.75500380916993
			28.3175675675676	148.483964653446	28.3175675675676	5.75474777065413
			28.3190690690691	148.322282572615	28.3190690690691	5.75449173213833
			28.3205705705706	148.160600491784	28.3205705705706	5.75423569362254
			28.3220720720721	147.998918410952	28.3220720720721	5.75397965510674
			28.3235735735736	147.83723633012	28.3235735735736	5.75372361659094
			28.3250750750751	147.675554249288	28.3250750750751	5.75346757807514
			28.3265765765766	147.513872168457	28.3265765765766	5.75321153955935
			28.3280780780781	147.352190087625	28.3280780780781	5.75295550104355
			28.3295795795796	147.190508006794	28.3295795795796	5.75269946252775
			28.3310810810811	147.028825925962	28.3310810810811	5.75244342401195
			28.3325825825826	146.867143845131	28.3325825825826	5.75218738549616
			28.3340840840841	146.705461764299	28.3340840840841	5.75193134698036
			28.3355855855856	146.543779683467	28.3355855855856	5.75167530846456
			28.3370870870871	146.382097602636	28.3370870870871	5.75141926994877
			28.3385885885886	146.220415521804	28.3385885885886	5.75116323143297
			28.3400900900901	146.058733440973	28.3400900900901	5.75090719291717
			28.3415915915916	145.897051360141	28.3415915915916	5.75065115440137
			28.3430930930931	145.73536927931	28.3430930930931	5.75039511588558
			28.3445945945946	145.573687198478	28.3445945945946	5.75013907736978
			28.3460960960961	145.412005117646	28.3460960960961	5.74988303885398
			28.3475975975976	145.250323036815	28.3475975975976	5.74962700033818
			28.3490990990991	145.088640955983	28.3490990990991	5.74937096182239
			28.3506006006006	144.926958875152	28.3506006006006	5.74911492330659
			28.3521021021021	144.76527679432	28.3521021021021	5.74885888479079
			28.3536036036036	144.603594713489	28.3536036036036	5.74860284627499
			28.3551051051051	144.441912632657	28.3551051051051	5.7483468077592
			28.3566066066066	144.280230551825	28.3566066066066	5.7480907692434
			28.3581081081081	144.118548470994	28.3581081081081	5.7478347307276
			28.3596096096096	143.956866390162	28.3596096096096	5.7475786922118
			28.3611111111111	143.795184309331	28.3611111111111	5.74732265369601
