Vbg	gm	gm	gm	gm	gm	gm
V	S	S	S	S	S	S
Vbg	T=300 K	T=360 K	T=420 K 	T=480 K	T=540 K	T=600 K
14	1.6035E-7	1.5138E-7	1.769765E-7	1.216355E-7	1.22447E-7	1.063525E-7
13	1.67067E-7	1.53324E-7	1.516495E-7	1.525835E-7	1.231935E-7	1.07936E-7
12	1.655435E-7	1.622155E-7	1.542195E-7	1.31444E-7	1.19902E-7	1.043605E-7
11	1.62312E-7	1.63372E-7	1.74931E-7	1.36913999999999E-7	1.21345E-7	9.73969999999998E-8
10	1.558455E-7	1.474065E-7	1.566585E-7	1.43704E-7	1.27945E-7	1.055265E-7
9	1.50733E-7	1.461175E-7	1.49641E-7	1.44806E-7	1.265705E-7	1.034205E-7
8	1.442745E-7	1.5852E-7	1.63141E-7	1.50754E-7	1.20921E-7	9.85715000000002E-8
7	1.45407E-7	1.592945E-7	1.59974E-7	1.49762E-7	1.17477E-7	1.04164E-7
6	1.44316E-7	1.440955E-7	1.65444E-7	1.38396500000001E-7	1.07801E-7	1.065535E-7
5	1.302205E-7	1.39596E-7	1.624545E-7	1.431495E-7	1.20790999999999E-7	1.047395E-7
4	1.294485E-7	1.425975E-7	1.511395E-7	1.43598499999999E-7	1.21464E-7	1.048725E-7
3	1.27922E-7	1.375945E-7	1.566445E-7	1.49588000000001E-7	1.16484E-7	1.074895E-7
2	1.19064E-7	1.36763E-7	1.56877E-7	1.36458500000001E-7	1.256355E-7	1.050165E-7
1	1.082305E-7	1.26143E-7	1.59734999999999E-7	1.333515E-7	2.766465E-7	4.68582E-7
0	1.10487E-7	1.310595E-7	1.594685E-7	1.51733999999999E-7	3.916955E-7	5.77248E-7
-1	1.122545E-7	1.270205E-7	1.618615E-7	1.79441E-7	2.935095E-7	2.509155E-7
-2	9.70590000000001E-8	1.16623E-7	1.739365E-7	1.95988500000001E-7	2.104875E-7	1.698195E-7
-3	9.291205E-8	1.20516E-7	1.621565E-7	1.83962999999999E-7	1.84603E-7	1.486545E-7
-4	9.41391E-8	1.201765E-7	1.535745E-7	1.852525E-7	1.722255E-7	1.409505E-7
-5	8.68704999999999E-8	1.164275E-7	1.550025E-7	1.88125500000001E-7	1.60976E-7	1.351685E-7
-6	7.798495E-8	1.1370855E-7	1.500585E-7	1.83213E-7	1.523765E-7	1.28569E-7
-7	7.35947E-8	1.03113E-7	1.660975E-7	1.81755E-7	1.44823E-7	1.260065E-7
-8	7.28652E-8	9.595365E-8	1.72305E-7	1.77356E-7	1.436145E-7	1.244805E-7
-9	6.59691E-8	9.283235E-8	1.506365E-7	1.654705E-7	1.3832E-7	1.23022E-7
-10	5.565155E-8	8.236525E-8	1.455405E-7	1.641795E-7	1.33552E-7	1.213915E-7
-11	5.04575E-8	7.84146E-8	1.4069E-7	1.567275E-7	1.349995E-7	1.19994E-7
-12	4.874715E-8	6.629745E-8	1.323475E-7	1.501545E-7	1.28307E-7	1.1703135E-7
-13	4.554725E-8	5.49286E-8	1.38092E-7	1.5475E-7	1.228555E-7	1.1267005E-7
-14	4.192385E-8	5.374175E-8	1.33335E-7	1.516175E-7	1.216805E-7	1.098657E-7
-15	3.72354E-8	4.55128499999999E-8	1.180435E-7	1.42699E-7	1.1935215E-7	1.0575015E-7
-16	3.142765E-8	3.63267E-8	1.108865E-7	1.32577E-7	1.167263E-7	1.0020875E-7
-17	2.612285E-8	3.156335E-8	1.1028965E-7	1.342085E-7	1.118107E-7	9.19379E-8
-18	2.298883E-8	2.71832E-8	9.75406499999999E-8	1.347935E-7	1.065755E-7	8.403915E-8
-19	1.88609E-8	2.3364055E-8	9.07134E-8	1.29603E-7	1.026009E-7	7.572755E-8
-20	1.493505E-8	2.036583E-8	9.239345E-8	1.254785E-7	9.71076E-8	6.394345E-8
-21	1.1734795E-8	1.759328E-8	8.350965E-8	1.20387E-7	8.878215E-8	5.455515E-8
-22	8.483515E-9	1.4389835E-8	7.572935E-8	1.226775E-7	7.86456E-8	4.49418E-8
-23	5.763148E-9	1.0858955E-8	7.108885E-8	1.199839E-7	6.63951E-8	3.333165E-8
-24	3.9233855E-9	8.130245E-9	6.31481E-8	1.123679E-7	5.3319895E-8	2.622151E-8
-25	2.434923E-9	5.73407E-9	6.04632E-8	1.0871195E-7	4.051039E-8	2.1338405E-8
-26	1.3915665E-9	4.18591E-9	5.643525E-8	1.012375E-7	2.9158815E-8	1.543397E-8
-27	7.703375E-10	3.2125305E-9	4.791695E-8	9.75749999999999E-8	1.950436E-8	1.175432E-8
-28	4.094155E-10	2.2591025E-9	4.30621E-8	9.32275499999999E-8	1.209026E-8	8.88913E-9
-29	1.867758E-10	1.5792795E-9	4.12735E-8	8.77225000000001E-8	7.127715E-9	6.7381E-9
-30	7.207335E-11	1.08941115E-9	3.5737245E-8	8.155985E-8	4.503727E-9	5.15142E-9
-31	2.115145E-11	6.2265295E-10	2.816609E-8	7.175205E-8	3.1058175E-9	4.12807E-9
-32	3.57155E-12	3.1617055E-10	2.316253E-8	6.37883E-8	1.966248E-9	3.5326E-9
-33	5.582E-13	1.475232E-10	1.8002935E-8	5.189665E-8	1.2535455E-9	2.8601E-9
-34	9.215E-14	6.253895E-11	1.355701E-8	3.819006E-8	9.410895E-10	1.90411E-9
-35	2.165E-14	2.569125E-11	8.8700915E-9	2.6724925E-8	6.7285E-10	1.5471E-9
-36	6.80000000000001E-15	8.35995E-12	5.3702185E-9	1.6938885E-8	3.75309E-10	1.4309E-9
-37	-8.04999999999999E-15	2.8322E-12	3.167426E-9	9.3000845E-9	1.84209E-10	1.3389625E-9
-38	-4.55E-15	8.9935E-13	1.61237785E-9	4.655976E-9	3.4639E-10	1.370939E-9
-39	5.00000000000036E-17	3.145E-13	7.3514795E-10	2.08829485E-9	2.4627765E-10	9.68669000000001E-10
-40	2.45E-15	1.0715E-13	2.822207E-10	8.2233955E-10	5.66600000000001E-11	6.51313E-10
-41	1.45E-15	3.83E-14	1.1627715E-10	2.8605815E-10	8.59114E-11	7.287905E-10
-42	2.49999999999999E-16	1.56E-14	4.102875E-11	1.394579E-10	4.72875E-11	6.08052E-10
-43	-2.2E-15	8.79999999999992E-15	1.33922E-11	6.62934E-11	4.625955E-11	4.21205E-10
-44	-6.50000000000002E-16	4.50000000000003E-15	4.8157E-12	3.628215E-11	4.58041E-11	3.77800499999999E-10
-45	1.00000000000001E-16	2.95E-15	1.84735E-12	2.09886E-11	4.614345E-11	3.82853000000001E-10
-46	2.95E-15	6.45000000000004E-15	7.9515E-13	1.21835E-11	4.074545E-11	4.29003E-10
-47	1.65E-15	1.50000000000015E-15	3.618E-13	8.00295E-12	3.134035E-11	3.44368499999999E-10
-48	-2.44999999999999E-15	1.49999999999954E-16	1.994E-13	4.43245E-12	2.43724E-11	2.56709E-10
-49	2.7E-15	-4.55000000000012E-15	1.1435E-13	2.8905E-12	2.032135E-11	2.35093E-10
-50	-9.50000000000005E-16	-1.99999999999939E-16	7.19999999999999E-14	2.32755E-12	1.79956E-11	2.05506E-10
-51	-9.45E-15	1.235E-14	4.54000000000001E-14	1.5774E-12	1.63794E-11	2.50817E-10
-52	-1.49999999999998E-16	3.90000000000001E-15	1.28500000000001E-14	1.1163E-12	1.20671E-11	2.434165E-10
-53	3.25000000000001E-15	-2.50000000000024E-16	7.85000000000011E-15	8.406E-13	1.02011E-11	1.357835E-10
-54	-3.70000000000001E-15	1.24999999999992E-15	1.39E-14	6.0525E-13	1.01861E-11	1.01367499999999E-10
-55	3.55E-15	3.50000000000094E-16	-9.00000000000026E-16	4.7655E-13	7.37219999999999E-12	1.48958E-10
-56	1.45E-15	1.99999999999999E-15	1.49999999999994E-15	3.4115E-13	7.3982E-12	1.25897E-10
-57	-3.1E-15	-1.75000000000007E-15	1.1E-14	2.921E-13	1.074005E-11	1.36057E-10
-58	2.2E-15	-2.74999999999996E-15	-3.09999999999996E-15	2.3555E-13	8.1333E-12	1.466445E-10
-59	-1.35E-15	-1.49999999999954E-16	-1.22500000000001E-14	1.2445E-13	8.38999999999999E-12	1.278845E-10
-60	-8E-15	2.3000000000001E-15	-7.60000000000009E-15	1.134E-13	1.06805E-11	1.48997E-10
